"compresion","imagen","peso","resolucion","tasa_compresion"
"Index","73",5038022,"1080p",2.11864173705996
"Index","54",10003822,"1080p",2.12244051905245
"Index","105",10012898,"1080p",2.1228311940851
"Run","19",4460109,"720p",2.13564714991446
"Index","114",4458066,"720p",2.1391696900745
"Index","112",2563462,"720p",2.14058155206362
"Index","74",7989454,"1080p",2.1419338614629
"Run","19",9788057,"1080p",2.14390377458915
"Run","105",10127945,"1080p",2.14722227051331
"Run","54",10186186,"1080p",2.16113140567723
"Run","42",4424210,"720p",2.17209074430835
"Run","52",6951972,"1080p",2.18005194264358
"Index","64",8367214,"1080p",2.18432381152276
"Index","18",7338038,"1080p",2.18555823478814
"Run","114",4557961,"720p",2.18710356009572
"Index","48",3576874,"720p",2.19126757992098
"Index","42",9059746,"1080p",2.191761262606
"Index","73",2614586,"720p",2.19782183644271
"Index","83",4561090,"720p",2.20320267180753
"Index","97",9113898,"1080p",2.20608512572696
"Index","94",9127178,"1080p",2.2072496107099
"Index","52",7043358,"1080p",2.20870945548029
"Index","108",4082878,"720p",2.2096783882883
"Diff/Luma","117",2451840,"1080p",2.20995590615908
"Index","82",2817758,"720p",2.21048304536273
"Index","86",3823106,"720p",2.21065456227593
"Index","74",3830458,"720p",2.21334690844542
"Diff/Luma","103",1058591,"720p",2.21488037326471
"Run","83",4587724,"720p",2.21606803950712
"Index","16",4439086,"1080p",2.21655508374711
"Index","56",8347454,"1080p",2.2254180263186
"Index","60",5688670,"1080p",2.22636420171271
"Index","92",5118638,"1080p",2.22766918144014
"Index","97",4334570,"720p",2.23413132635006
"Index","72",5449446,"1080p",2.23821644069335
"Index","69",3027110,"720p",2.23881612569457
"Index","111",3680458,"720p",2.24530572927057
"Run","60",5740430,"1080p",2.24662141668222
"Index","41",6699858,"1080p",2.24911753835246
"Index","113",10129990,"1080p",2.25045175697585
"Index","86",7969366,"1080p",2.25166458434695
"Run","60",2940170,"720p",2.25383282740012
"Index","34",7262734,"1080p",2.25972092062342
